Customer ID,Age,Gender,City,Subscription Type,Monthly Spending,Tenure,Number of Purchases,Customer Support Requests,Login Frequency,Last Activity Date,Satisfaction Score,Churn Status
CUST-10050,46,Male,Lahore,Standard,47.29,2,45,10,10,2025-11-11,4,1
CUST-10051,67,Female,Rawalpindi,Standard,47.66,52,35,2,5,2026-01-11,3,0
CUST-10052,23,Female,Peshawar,Standard,69.19,70,24,10,18,2026-02-01,4,0
CUST-10053,62,Male,Lahore,Basic,19.4,42,1,0,12,2025-08-01,1,1
CUST-10054,49,Female,Islamabad,Standard,61.53,56,2,10,17,2026-02-28,5,0
CUST-10055,70,Male,Quetta,Premium,79.57,62,15,7,23,2025-12-23,5,0
CUST-10056,28,Female,Lahore,Standard,38.83,34,12,2,18,2026-01-31,2,0
CUST-10057,38,Female,Lahore,Basic,10.4,62,23,1,24,2025-11-24,5,0
CUST-10058,36,Female,Karachi,Standard,47.65,19,26,4,28,2026-06-15,1,1
CUST-10059,69,Female,Multan,Basic,29.16,42,7,9,14,2025-10-25,2,1
CUST-10060,68,Female,Quetta,Basic,28.62,19,15,2,20,2026-06-12,4,0
CUST-10061,55,Female,Multan,Premium,82.51,37,33,7,26,2025-10-24,2,1
CUST-10062,25,Female,Islamabad,Basic,13.49,52,2,10,17,2026-06-06,3,1
CUST-10063,56,Male,Islamabad,Basic,18.31,39,25,1,16,2025-07-06,1,1
CUST-10064,30,Female,Lahore,Basic,15.72,2,19,7,6,2025-11-27,1,1
CUST-10065,67,Male,Peshawar,Premium,104.29,7,23,3,26,2025-08-19,5,0
CUST-10066,52,Male,Lahore,Basic,19.74,35,50,0,4,2025-12-01,1,0
CUST-10067,23,Male,Peshawar,Basic,19.52,3,29,10,11,2025-07-04,5,0
CUST-10068,19,Male,Peshawar,Premium,79.9,52,19,0,20,2026-05-26,1,0
CUST-10069,30,Female,Quetta,Premium,80.72,53,27,1,28,2026-04-07,5,0
CUST-10070,47,Male,Lahore,Premium,109.16,59,14,8,24,2025-10-20,4,0
CUST-10071,41,Female,Lahore,Basic,26.2,14,28,8,2,2025-10-25,5,0
CUST-10072,59,Female,Quetta,Basic,14.94,9,11,5,8,2026-03-13,4,1
CUST-10073,37,Female,Quetta,Basic,19.37,49,28,5,29,2025-11-27,5,0
CUST-10074,25,Male,Multan,Premium,94.39,45,46,5,21,2025-07-30,2,1
CUST-10075,70,Male,Faisalabad,Basic,29.23,70,24,1,20,2025-09-04,5,0
CUST-10076,50,Female,Lahore,Standard,41.6,2,30,3,12,2026-05-14,5,1
CUST-10077,47,Male,Quetta,Basic,23.07,31,11,9,25,2025-11-25,3,1
CUST-10078,60,Male,Peshawar,Standard,49.4,41,45,3,27,2025-12-01,5,0
CUST-10079,61,Female,Quetta,Standard,68.34,50,8,6,3,2026-06-14,1,1
CUST-10080,34,Male,Quetta,Standard,69.81,12,33,0,4,2026-03-05,5,0
CUST-10081,66,Female,Quetta,Basic,21.74,6,20,7,13,2026-02-27,1,1
CUST-10082,52,Male,Multan,Standard,69.94,44,21,5,18,2026-05-22,4,0
CUST-10083,45,Male,Quetta,Basic,18.07,1,3,3,30,2025-08-01,1,0
CUST-10084,28,Male,Quetta,Basic,24.77,17,36,6,9,2026-02-19,5,0
CUST-10085,23,Female,Karachi,Standard,62.36,70,45,3,27,2026-06-08,4,0
CUST-10086,57,Female,Islamabad,Standard,40.03,52,28,2,1,2025-06-20,1,1
CUST-10087,45,Male,Rawalpindi,Standard,41.36,58,41,4,12,2026-04-22,3,1
CUST-10088,35,Male,Peshawar,Basic,10.74,20,38,7,29,2025-08-20,1,1
CUST-10089,58,Male,Islamabad,Standard,35.23,3,37,10,19,2025-12-15,1,1
CUST-10090,49,Male,Lahore,Basic,19.82,46,5,8,11,2026-02-22,1,1
CUST-10091,48,Female,Rawalpindi,Basic,10.96,32,34,0,28,2025-07-30,4,0
CUST-10092,19,Male,Lahore,Basic,16.63,16,32,7,21,2026-05-18,4,0
CUST-10093,69,Female,Lahore,Premium,91.56,69,27,5,4,2025-07-13,5,0
CUST-10094,63,Male,Islamabad,Premium,88.0,62,1,4,20,2025-07-23,5,0
CUST-10095,39,Female,Karachi,Premium,98.36,27,26,6,22,2025-12-08,1,1
CUST-10096,62,Female,Lahore,Premium,76.71,68,38,5,8,2025-11-09,1,1
CUST-10097,63,Male,Karachi,Premium,78.83,32,10,8,13,2026-04-01,4,0
CUST-10098,27,Female,Faisalabad,Basic,18.0,17,18,2,8,2025-09-10,3,1
CUST-10099,46,Male,Quetta,Standard,40.11,61,46,7,19,2025-08-10,3,0
CUST-10100,51,Male,Islamabad,Standard,65.62,14,45,1,15,2025-12-24,5,0
CUST-10101,56,Female,Multan,Premium,90.07,20,38,7,7,2025-12-22,2,1
CUST-10102,33,Male,Peshawar,Basic,29.07,23,32,0,12,2025-10-09,1,0
CUST-10103,67,Male,Multan,Standard,61.43,8,27,10,27,2025-12-20,4,1
CUST-10104,27,Male,Islamabad,Standard,38.07,9,41,0,29,2026-05-02,3,0
CUST-10105,54,Male,Quetta,Premium,108.22,67,23,0,25,2025-06-24,1,0
CUST-10106,18,Male,Islamabad,Premium,116.92,55,12,6,24,2026-05-12,4,0
CUST-10107,39,Female,Lahore,Basic,21.49,16,2,1,9,2026-03-24,4,0
CUST-10108,45,Female,Karachi,Premium,104.5,62,40,2,6,2026-01-25,2,1
CUST-10109,65,Female,Islamabad,Basic,10.12,5,6,2,3,2026-02-28,5,0
CUST-10110,68,Female,Islamabad,Premium,86.22,48,23,10,18,2025-09-21,5,0
CUST-10111,64,Male,Islamabad,Premium,78.91,54,3,2,4,2025-08-13,3,1
CUST-10112,59,Male,Quetta,Standard,47.39,64,36,5,27,2025-10-21,3,1
CUST-10113,20,Male,Rawalpindi,Basic,28.4,23,12,6,13,2025-11-11,5,0
CUST-10114,39,Male,Multan,Standard,34.8,3,47,6,14,2025-11-05,1,1
CUST-10115,34,Female,Islamabad,Premium,107.14,45,29,1,10,2026-02-11,1,0
CUST-10116,61,Male,Multan,Standard,52.62,8,49,9,9,2025-12-01,3,0
CUST-10117,45,Female,Rawalpindi,Premium,115.96,60,27,9,27,2025-12-16,2,1
CUST-10118,48,Female,Karachi,Basic,13.0,71,7,9,27,2026-02-06,1,1
CUST-10119,20,Male,Lahore,Premium,100.98,68,1,10,5,2026-02-12,4,0
CUST-10120,58,Female,Quetta,Basic,22.78,22,38,0,23,2026-04-26,4,0
CUST-10121,54,Female,Islamabad,Standard,55.44,11,3,4,9,2026-03-22,3,0
CUST-10122,55,Male,Peshawar,Standard,44.78,7,12,5,5,2026-05-06,1,1
CUST-10123,53,Male,Islamabad,Basic,11.56,14,20,9,3,2026-01-25,4,0
CUST-10124,64,Female,Faisalabad,Premium,90.33,27,21,7,21,2026-05-08,2,1
CUST-10125,35,Male,Islamabad,Standard,54.8,54,50,0,23,2026-04-05,1,0
CUST-10126,40,Male,Lahore,Premium,101.08,19,45,3,30,2025-10-10,5,0
CUST-10127,41,Female,Peshawar,Premium,115.46,67,43,4,9,2026-05-27,3,0
CUST-10128,46,Female,Karachi,Premium,76.89,31,37,6,6,2025-12-27,1,1
CUST-10129,45,Male,Multan,Standard,62.43,17,42,3,15,2026-06-17,3,0
CUST-10130,67,Male,Rawalpindi,Standard,68.58,2,18,10,4,2026-04-16,2,1
CUST-10131,64,Male,Lahore,Premium,100.53,69,29,8,19,2026-01-11,5,0
CUST-10132,57,Male,Lahore,Standard,48.5,67,26,3,1,2026-02-17,5,0
CUST-10133,62,Male,Multan,Basic,15.97,17,36,2,15,2026-01-16,1,0
CUST-10134,49,Female,Peshawar,Basic,22.16,69,12,10,18,2025-07-22,2,1
CUST-10135,36,Male,Rawalpindi,Standard,54.09,21,8,10,2,2026-01-18,2,1
CUST-10136,28,Male,Lahore,Basic,21.71,37,41,1,24,2026-01-10,1,0
CUST-10137,42,Female,Multan,Standard,38.94,33,35,1,14,2026-05-05,2,1
CUST-10138,42,Male,Islamabad,Basic,15.87,4,17,7,28,2025-10-10,4,0
CUST-10139,43,Female,Quetta,Premium,105.14,26,21,8,21,2025-11-06,1,1
CUST-10140,18,Male,Islamabad,Standard,52.22,17,36,5,11,2025-09-02,2,1
CUST-10141,34,Male,Islamabad,Basic,29.49,13,16,10,8,2026-03-18,5,0
CUST-10142,56,Male,Peshawar,Standard,60.79,14,4,5,2,2026-03-20,2,1
CUST-10143,59,Female,Islamabad,Premium,78.05,65,8,8,30,2026-04-17,2,1
CUST-10144,41,Female,Rawalpindi,Premium,88.23,12,13,2,20,2025-09-21,1,0
CUST-10145,70,Male,Rawalpindi,Standard,65.5,22,25,7,13,2025-11-20,4,0
CUST-10146,61,Female,Karachi,Standard,68.59,66,15,5,30,2026-03-31,5,0
CUST-10147,18,Male,Peshawar,Premium,85.81,24,43,6,11,2026-06-13,5,0
CUST-10148,23,Male,Faisalabad,Basic,12.84,26,13,3,13,2026-04-06,1,1
CUST-10149,43,Female,Islamabad,Standard,46.39,65,7,9,25,2025-12-13,3,1
CUST-10150,69,Female,Rawalpindi,Standard,45.39,24,37,7,13,2025-09-07,4,0
CUST-10151,52,Female,Peshawar,Standard,48.09,61,29,9,30,2026-03-15,4,0
CUST-10152,29,Female,Lahore,Basic,26.63,12,42,3,6,2026-05-24,5,0
CUST-10153,32,Female,Karachi,Standard,65.32,62,11,0,24,2026-05-04,2,0
CUST-10154,37,Male,Islamabad,Basic,18.08,32,40,7,13,2025-12-24,3,1
CUST-10155,18,Male,Islamabad,Basic,29.25,2,48,2,26,2026-02-10,3,1
CUST-10156,66,Male,Peshawar,Premium,84.6,35,33,8,25,2026-03-23,3,0
CUST-10157,33,Male,Rawalpindi,Standard,34.5,53,27,6,16,2026-04-09,4,0
CUST-10158,43,Male,Karachi,Premium,77.93,55,25,10,20,2026-04-17,4,0
CUST-10159,20,Male,Quetta,Basic,20.36,60,1,4,2,2025-12-11,3,1
CUST-10160,64,Male,Peshawar,Standard,53.26,14,43,2,30,2025-12-16,2,0
CUST-10161,63,Female,Islamabad,Basic,18.62,51,6,10,16,2026-01-05,3,0
CUST-10162,41,Male,Peshawar,Basic,14.66,16,9,4,30,2025-12-08,4,0
CUST-10163,54,Female,Peshawar,Basic,13.1,46,37,5,10,2025-11-13,1,1
CUST-10164,33,Male,Faisalabad,Basic,16.18,32,16,9,27,2026-01-09,5,0
CUST-10165,42,Male,Faisalabad,Premium,109.92,31,24,2,16,2026-02-28,5,0
CUST-10166,20,Male,Faisalabad,Standard,49.89,11,32,5,15,2025-12-24,1,1
CUST-10167,70,Female,Multan,Premium,71.75,48,18,10,28,2026-03-23,5,0
CUST-10168,50,Male,Lahore,Standard,49.29,68,32,1,6,2025-12-10,1,0
CUST-10169,66,Male,Islamabad,Standard,39.92,29,49,7,29,2026-04-21,3,1
CUST-10170,52,Male,Rawalpindi,Basic,25.54,21,30,1,2,2025-09-19,5,0
CUST-10171,65,Male,Rawalpindi,Basic,19.94,15,33,2,22,2025-12-15,2,1
CUST-10172,68,Male,Lahore,Standard,67.96,32,2,6,14,2026-06-08,2,1
CUST-10173,63,Male,Multan,Standard,63.58,7,50,3,11,2026-02-04,5,1
CUST-10174,47,Male,Quetta,Basic,21.4,59,26,2,6,2026-06-06,2,1
CUST-10175,42,Female,Rawalpindi,Premium,83.54,49,35,1,3,2026-04-04,1,0
CUST-10176,27,Female,Lahore,Standard,32.15,39,20,2,28,2026-06-20,5,0
CUST-10177,67,Female,Multan,Standard,69.32,38,46,3,15,2025-09-09,1,0
CUST-10178,54,Female,Lahore,Premium,84.98,34,7,8,10,2025-10-12,1,1
CUST-10179,34,Male,Quetta,Standard,56.66,7,12,2,22,2025-12-27,3,0
CUST-10180,66,Male,Multan,Standard,38.69,41,33,0,11,2025-08-05,1,0
CUST-10181,25,Male,Karachi,Premium,73.84,33,46,1,13,2026-01-15,2,1
CUST-10182,36,Female,Multan,Basic,28.93,32,49,9,12,2026-01-10,4,0
CUST-10183,21,Female,Lahore,Basic,28.18,13,30,8,15,2026-06-08,5,0
CUST-10184,62,Male,Islamabad,Premium,117.64,12,14,2,8,2025-07-18,2,0
CUST-10185,62,Male,Karachi,Premium,93.82,31,9,3,6,2025-06-20,1,0
CUST-10186,68,Female,Lahore,Premium,88.18,18,50,3,14,2026-01-21,1,0
CUST-10187,59,Female,Rawalpindi,Premium,96.3,48,17,10,9,2025-11-13,3,0
CUST-10188,63,Male,Faisalabad,Standard,40.09,46,16,5,9,2025-07-29,2,1
CUST-10189,21,Male,Multan,Basic,28.48,31,1,2,10,2026-01-06,5,0
CUST-10190,31,Female,Faisalabad,Basic,18.24,23,47,3,6,2025-12-20,3,0
CUST-10191,29,Female,Multan,Basic,25.14,51,11,10,26,2025-12-31,4,0
CUST-10192,27,Female,Lahore,Basic,15.7,42,31,10,30,2025-09-05,4,0
CUST-10193,59,Male,Quetta,Premium,89.39,70,39,10,17,2025-08-19,5,0
CUST-10194,50,Male,Lahore,Standard,39.96,7,7,6,4,2026-05-31,5,0
CUST-10195,32,Male,Lahore,Basic,10.3,54,47,7,28,2025-08-07,4,0
CUST-10196,25,Male,Lahore,Standard,57.69,69,40,6,7,2025-11-23,4,0
CUST-10197,47,Female,Lahore,Standard,67.66,30,31,0,5,2025-10-15,4,0
CUST-10198,28,Male,Faisalabad,Basic,20.22,4,41,7,15,2025-06-20,3,1
CUST-10199,36,Female,Faisalabad,Standard,60.9,36,21,7,9,2025-06-22,2,1
CUST-10200,18,Male,Faisalabad,Standard,67.98,64,18,10,10,2025-11-01,4,0
CUST-10201,58,Female,Quetta,Premium,72.65,65,10,7,29,2025-10-09,5,0
CUST-10202,33,Male,Karachi,Basic,13.06,5,28,10,13,2025-09-11,3,1
CUST-10203,20,Female,Multan,Basic,21.72,72,19,1,18,2025-11-23,5,0
CUST-10204,42,Female,Islamabad,Basic,16.1,6,8,7,3,2026-04-12,5,0
CUST-10205,65,Male,Quetta,Standard,61.61,52,35,9,12,2025-12-12,5,0
CUST-10206,42,Male,Lahore,Standard,48.68,12,22,8,9,2025-08-23,5,0
CUST-10207,39,Male,Islamabad,Standard,61.49,46,17,9,23,2025-11-21,1,1
CUST-10208,61,Female,Peshawar,Standard,40.86,56,37,0,10,2025-12-17,1,1
CUST-10209,36,Female,Karachi,Standard,44.25,59,50,0,29,2025-10-28,4,0
CUST-10210,36,Male,Quetta,Standard,32.58,64,41,0,22,2026-04-15,2,0
CUST-10211,43,Male,Rawalpindi,Premium,113.42,6,23,5,26,2025-12-11,4,0
CUST-10212,40,Male,Quetta,Basic,20.75,53,8,1,5,2026-05-02,2,0
CUST-10213,36,Female,Islamabad,Basic,16.69,65,22,5,18,2025-07-04,5,0
CUST-10214,49,Female,Lahore,Standard,33.75,28,43,5,23,2026-03-29,5,0
CUST-10215,38,Male,Rawalpindi,Basic,20.67,52,42,8,5,2025-10-21,2,1
CUST-10216,55,Male,Faisalabad,Standard,48.38,37,11,5,12,2025-12-21,1,1
CUST-10217,42,Female,Peshawar,Standard,68.18,2,39,2,10,2025-11-05,1,1
CUST-10218,35,Male,Rawalpindi,Basic,24.8,43,48,7,20,2026-06-04,4,0
CUST-10219,53,Female,Faisalabad,Standard,33.93,5,34,4,24,2026-02-27,1,1
CUST-10220,54,Female,Islamabad,Standard,63.51,67,41,4,21,2026-03-01,5,0
CUST-10221,47,Female,Islamabad,Standard,51.08,71,30,0,19,2026-01-01,2,0
CUST-10222,25,Female,Rawalpindi,Premium,84.63,19,40,2,24,2025-09-13,5,0
CUST-10223,39,Female,Quetta,Basic,18.26,6,12,3,8,2026-05-07,2,0
CUST-10224,65,Female,Islamabad,Premium,107.54,29,35,3,2,2026-05-19,5,0
CUST-10225,37,Male,Peshawar,Basic,21.14,40,40,2,20,2026-04-08,3,0
CUST-10226,31,Male,Multan,Premium,84.55,7,47,8,20,2026-02-04,2,1
CUST-10227,18,Female,Peshawar,Standard,49.43,19,48,9,6,2026-04-21,5,0
CUST-10228,47,Male,Islamabad,Basic,16.78,58,2,1,2,2026-02-06,1,0
CUST-10229,68,Female,Multan,Standard,59.51,15,30,5,30,2026-02-18,2,1
CUST-10230,64,Female,Lahore,Basic,27.44,30,24,4,8,2025-11-25,2,1
CUST-10231,48,Male,Quetta,Standard,35.61,68,11,4,7,2026-01-01,3,1
CUST-10232,44,Male,Multan,Premium,107.18,48,50,4,2,2025-08-05,1,1
CUST-10233,51,Male,Faisalabad,Basic,29.19,4,19,5,23,2026-05-15,2,1
CUST-10234,70,Female,Quetta,Premium,92.03,41,7,1,16,2026-05-02,2,1
CUST-10235,55,Male,Karachi,Standard,55.9,14,30,4,7,2026-05-11,5,0
CUST-10236,27,Male,Lahore,Basic,11.06,12,18,2,15,2026-01-11,5,0
CUST-10237,58,Female,Lahore,Basic,10.05,61,48,8,14,2025-09-22,5,0
CUST-10238,67,Male,Multan,Basic,21.02,27,11,1,19,2026-02-18,3,0
CUST-10239,51,Male,Lahore,Standard,37.73,29,35,9,29,2026-01-18,1,1
CUST-10240,31,Female,Quetta,Basic,18.2,36,29,3,14,2025-07-11,4,0
CUST-10241,34,Male,Lahore,Standard,52.01,6,44,3,29,2025-06-22,4,0
CUST-10242,57,Male,Peshawar,Standard,68.17,36,42,10,29,2025-12-08,4,0
CUST-10243,26,Male,Rawalpindi,Premium,72.3,46,49,7,29,2025-07-10,2,1
CUST-10244,55,Male,Peshawar,Standard,59.52,49,37,1,27,2025-08-25,5,0
CUST-10245,58,Female,Islamabad,Standard,33.64,8,41,9,22,2026-02-06,5,1
CUST-10246,32,Male,Quetta,Premium,110.19,4,25,5,18,2025-12-31,4,1
CUST-10247,62,Female,Peshawar,Standard,32.93,69,48,1,16,2025-10-16,1,1
CUST-10248,65,Female,Peshawar,Premium,115.44,47,9,0,1,2026-05-01,5,0
CUST-10249,36,Male,Karachi,Standard,40.22,43,40,9,2,2025-11-23,5,0
CUST-10250,68,Female,Lahore,Standard,31.48,59,8,0,29,2025-11-06,5,0
CUST-10251,25,Female,Lahore,Standard,48.53,66,27,7,22,2026-03-10,3,0
CUST-10252,38,Female,Faisalabad,Basic,12.03,10,45,2,18,2025-11-02,1,1
CUST-10253,46,Male,Faisalabad,Basic,13.2,67,11,4,24,2025-08-10,1,1
CUST-10254,51,Male,Lahore,Premium,83.68,39,14,5,16,2026-03-21,5,0
CUST-10255,55,Male,Quetta,Standard,66.52,15,24,0,2,2026-06-20,3,0
CUST-10256,47,Male,Lahore,Standard,31.22,32,32,8,16,2025-12-30,1,1
CUST-10257,46,Female,Multan,Premium,111.12,7,32,9,7,2025-09-28,5,0
CUST-10258,51,Male,Peshawar,Standard,34.86,26,46,5,18,2025-10-12,5,0
CUST-10259,33,Female,Islamabad,Basic,17.35,40,8,0,30,2025-08-07,3,0
CUST-10260,55,Male,Peshawar,Basic,26.17,42,27,0,6,2026-02-22,3,0
CUST-10261,67,Male,Peshawar,Basic,23.96,37,31,9,13,2025-09-05,2,1
CUST-10262,45,Female,Rawalpindi,Basic,17.66,48,29,9,21,2026-05-31,5,0
CUST-10263,25,Male,Faisalabad,Basic,26.14,1,9,4,26,2025-08-25,1,1
CUST-10264,70,Male,Karachi,Basic,12.96,15,37,2,23,2026-05-23,3,0
CUST-10265,68,Male,Karachi,Basic,25.2,9,50,1,24,2025-11-22,5,0
CUST-10266,24,Female,Peshawar,Standard,46.14,71,19,4,25,2025-12-09,4,0
CUST-10267,39,Male,Karachi,Premium,82.42,19,49,5,13,2026-02-16,4,0
CUST-10268,61,Female,Rawalpindi,Standard,60.39,29,21,10,12,2026-04-01,3,1
CUST-10269,64,Male,Quetta,Standard,53.89,67,8,6,3,2026-03-25,5,0
CUST-10270,30,Male,Islamabad,Premium,93.14,48,46,2,4,2025-11-30,3,1
CUST-10271,39,Female,Karachi,Basic,19.51,26,7,9,24,2025-09-01,2,1
CUST-10272,35,Female,Islamabad,Standard,35.04,1,13,0,19,2025-12-06,5,0
CUST-10273,49,Male,Islamabad,Basic,15.02,43,21,10,2,2025-11-14,2,1
CUST-10274,25,Male,Peshawar,Standard,46.94,41,11,3,17,2026-06-05,5,0
CUST-10275,53,Male,Rawalpindi,Premium,108.96,55,34,10,14,2025-11-16,3,1
CUST-10276,31,Female,Karachi,Standard,54.55,43,23,0,4,2025-12-27,2,0
CUST-10277,43,Female,Peshawar,Basic,28.1,12,29,2,30,2026-06-20,2,0
CUST-10278,64,Male,Lahore,Premium,104.99,46,33,5,10,2026-02-14,5,0
CUST-10279,22,Male,Lahore,Premium,109.3,8,45,10,23,2025-09-23,1,1
CUST-10280,44,Female,Peshawar,Standard,33.04,56,25,1,20,2026-04-06,2,0
CUST-10281,68,Female,Islamabad,Premium,114.91,20,1,10,9,2026-03-05,1,1
CUST-10282,19,Female,Islamabad,Standard,63.98,4,6,0,10,2026-05-05,1,1
CUST-10283,29,Female,Faisalabad,Premium,112.61,44,40,1,26,2025-12-19,2,1
CUST-10284,65,Male,Islamabad,Basic,14.17,38,25,6,22,2025-09-04,5,0
CUST-10285,21,Male,Rawalpindi,Basic,14.86,66,27,10,4,2025-07-17,4,0
CUST-10286,36,Male,Multan,Standard,38.66,16,5,5,22,2025-09-09,4,0
CUST-10287,65,Female,Faisalabad,Basic,21.52,49,34,2,13,2025-11-05,5,0
CUST-10288,48,Female,Peshawar,Standard,68.08,58,17,5,27,2026-05-07,2,1
CUST-10289,41,Male,Lahore,Premium,91.56,2,26,6,6,2025-09-11,3,1
CUST-10290,30,Male,Islamabad,Premium,108.06,72,17,2,26,2025-11-28,1,1
CUST-10291,59,Male,Karachi,Basic,26.4,58,28,4,8,2025-10-06,4,0
CUST-10292,30,Male,Lahore,Premium,115.12,13,27,2,5,2025-10-24,3,0
CUST-10293,58,Female,Rawalpindi,Basic,13.99,71,20,2,18,2025-10-02,1,0
CUST-10294,54,Male,Multan,Basic,23.96,72,14,6,27,2025-12-07,3,0
CUST-10295,29,Female,Multan,Standard,41.85,39,13,9,27,2026-05-30,3,1
CUST-10296,67,Male,Peshawar,Standard,60.01,10,47,2,13,2025-11-06,3,1
CUST-10297,56,Female,Faisalabad,Standard,59.92,72,3,2,4,2025-07-31,4,0
CUST-10298,61,Female,Karachi,Basic,13.22,64,3,1,20,2025-12-10,5,0
CUST-10299,55,Male,Quetta,Standard,33.21,5,10,0,13,2026-06-20,3,0
CUST-10300,44,Female,Multan,Premium,75.0,26,9,0,14,2025-11-02,2,0
CUST-10301,29,Female,Faisalabad,Premium,81.65,30,33,1,8,2025-12-13,5,0
CUST-10302,20,Male,Karachi,Premium,115.4,15,14,6,21,2026-05-09,5,0
CUST-10303,28,Male,Multan,Premium,86.51,5,29,6,28,2026-03-15,5,1
CUST-10304,36,Female,Multan,Premium,118.49,53,27,8,30,2026-04-11,5,0
CUST-10305,22,Male,Islamabad,Premium,113.73,17,40,1,27,2025-11-15,4,0
CUST-10306,28,Male,Quetta,Premium,94.49,30,40,4,29,2025-07-08,5,0
CUST-10307,38,Male,Multan,Premium,107.33,26,31,8,15,2025-11-03,5,0
CUST-10308,36,Male,Peshawar,Premium,99.56,2,28,7,4,2026-06-03,4,1
